"acc","avg_rt","checkbox_status","color","correct","correct_response","count_log_trainning","count_salah_dualnback_","count_salah_estinum","count_salah_flanker","count_salah_gonogo","count_salah_nback","count_salah_stroop","count_telat_estinum","count_telat_flanker","count_telat_stroop","datetime","form_response","live_row","response","response_time","subject_nr","subject_parity","task","time_log_trainning","total_correct","total_response_time","total_responses"
"0","250","no","green","0","right","1","NA","NA","0","NA","NA","NA","NA","0","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","0","None","250","1","odd","flanker task","68297","0","250","1"
"0","250","no","green","0","down","2","NA","NA","1","NA","NA","NA","NA","1","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","1","None","250","1","odd","flanker task","70298","0","500","2"
"0","250","no","green","0","down","3","NA","NA","2","NA","NA","NA","NA","2","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","2","None","250","1","odd","flanker task","72279","0","750","3"
"0","250","no","green","0","up","4","NA","NA","3","NA","NA","NA","NA","3","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","3","None","250","1","odd","flanker task","74269","0","1000","4"
"0","250","no","green","0","left","5","NA","NA","4","NA","NA","NA","NA","4","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","4","None","250","1","odd","flanker task","76299","0","1250","5"
"0","241.33333333333334","no","green","0","left","6","NA","NA","5","NA","NA","NA","NA","5","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","5","up","198","1","odd","flanker task","78019","0","1448","6"
"0","206.85714285714286","no","green","0","down","7","NA","NA","6","NA","NA","NA","NA","6","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","6","left","0","1","odd","flanker task","79578","0","1448","7"
"0","181.25","no","green","0","right","8","NA","NA","7","NA","NA","NA","NA","7","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","7","left","2","1","odd","flanker task","81098","0","1450","8"
"11.11111111111111","180.11111111111111","no","green","1","up","9","NA","NA","8","NA","NA","NA","NA","8","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","8","up","171","1","odd","flanker task","81973","1","1621","9"
"10","187.1","no","green","0","down","10","NA","NA","9","NA","NA","NA","NA","9","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","9","None","250","1","odd","flanker task","83949","1","1871","10"
"9.090909090909092","187.63636363636363","no","green","0","down","11","NA","NA","10","NA","NA","NA","NA","10","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","10","up","193","1","odd","flanker task","85659","1","2064","11"
"16.666666666666668","191.75","no","green","1","up","12","NA","NA","11","NA","NA","NA","NA","11","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","11","up","237","1","odd","flanker task","86599","2","2301","12"
"15.384615384615385","196.23076923076923","no","green","0","left","13","NA","NA","12","NA","NA","NA","NA","12","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","12","None","250","1","odd","flanker task","88559","2","2551","13"
"14.285714285714286","200.07142857142858","no","green","0","up","14","NA","NA","13","NA","NA","NA","NA","13","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","13","None","250","1","odd","flanker task","90549","2","2801","14"
"13.333333333333334","203.4","no","green","0","up","15","NA","NA","14","NA","NA","NA","NA","14","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","14","None","250","1","odd","flanker task","92528","2","3051","15"
"18.75","202.5","no","green","1","up","16","NA","NA","15","NA","NA","NA","NA","15","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","15","up","189","1","odd","flanker task","93420","3","3240","16"
"17.647058823529413","205.2941176470588","no","green","0","left","17","NA","NA","16","NA","NA","NA","NA","16","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","16","None","250","1","odd","flanker task","95389","3","3490","17"
"16.666666666666668","206.55555555555554","no","green","0","right","18","NA","NA","17","NA","NA","NA","NA","17","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","17","up","228","1","odd","flanker task","97139","3","3718","18"
"15.789473684210526","208.8421052631579","no","green","0","down","19","NA","NA","18","NA","NA","NA","NA","18","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","18","None","250","1","odd","flanker task","99119","3","3968","19"
"15","210.9","no","green","0","down","20","NA","NA","19","NA","NA","NA","NA","19","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","19","None","250","1","odd","flanker task","101109","3","4218","20"
"14.285714285714286","208.52380952380952","no","green","0","down","21","NA","NA","20","NA","NA","NA","NA","20","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","20","up","161","1","odd","flanker task","102789","3","4379","21"
"18.181818181818183","210.22727272727272","no","green","1","down","22","NA","NA","21","NA","NA","NA","NA","21","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","21","down","246","1","odd","flanker task","104560","4","4625","22"
"17.391304347826086","211.95652173913044","no","green","0","right","23","NA","NA","22","NA","NA","NA","NA","22","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","22","None","250","1","odd","flanker task","106548","4","4875","23"
"16.666666666666668","211.20833333333334","no","green","0","down","24","NA","NA","23","NA","NA","NA","NA","23","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","23","right","194","1","odd","flanker task","108269","4","5069","24"
"16","212.76","no","green","0","up","25","NA","NA","24","NA","NA","NA","NA","24","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","24","None","250","1","odd","flanker task","110259","4","5319","25"
"15.384615384615385","214.19230769230768","no","green","0","left","26","NA","NA","25","NA","NA","NA","NA","25","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","25","None","250","1","odd","flanker task","112239","4","5569","26"
"18.51851851851852","214.85185185185185","no","green","1","right","27","NA","NA","26","NA","NA","NA","NA","26","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","26","right","232","1","odd","flanker task","113166","5","5801","27"
"17.857142857142858","214.46428571428572","no","green","0","right","28","NA","NA","27","NA","NA","NA","NA","27","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","27","up","204","1","odd","flanker task","114888","5","6005","28"
"20.689655172413794","212.48275862068965","no","green","1","left","29","NA","NA","28","NA","NA","NA","NA","28","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","28","left","157","1","odd","flanker task","115744","6","6162","29"
"23.333333333333332","211.46666666666667","no","green","1","down","30","NA","NA","29","NA","NA","NA","NA","29","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","29","down","182","1","odd","flanker task","116636","7","6344","30"
"22.580645161290324","212.70967741935485","no","green","0","down","31","NA","NA","30","NA","NA","NA","NA","30","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","30","None","250","1","odd","flanker task","118599","7","6594","31"
"21.875","213.875","no","green","0","left","32","NA","NA","31","NA","NA","NA","NA","31","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","31","None","250","1","odd","flanker task","120558","7","6844","32"
"21.21212121212121","214.96969696969697","no","green","0","right","33","NA","NA","32","NA","NA","NA","NA","32","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","32","None","250","1","odd","flanker task","122519","7","7094","33"
"20.58823529411765","216","no","green","0","left","34","NA","NA","33","NA","NA","NA","NA","33","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","33","None","250","1","odd","flanker task","124489","7","7344","34"
"22.857142857142858","215.25714285714287","no","green","1","up","35","NA","NA","34","NA","NA","NA","NA","34","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","34","up","190","1","odd","flanker task","125400","8","7534","35"
"22.22222222222222","216.22222222222223","no","green","0","up","36","NA","NA","35","NA","NA","NA","NA","35","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","35","None","250","1","odd","flanker task","127369","8","7784","36"
"21.62162162162162","217.13513513513513","no","green","0","right","37","NA","NA","36","NA","NA","NA","NA","36","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","36","None","250","1","odd","flanker task","129348","8","8034","37"
"21.05263157894737","218","no","green","0","down","38","NA","NA","37","NA","NA","NA","NA","37","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","37","None","250","1","odd","flanker task","131338","8","8284","38"
"23.076923076923077","215.82051282051282","no","green","1","up","39","NA","NA","38","NA","NA","NA","NA","38","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","38","up","133","1","odd","flanker task","132206","9","8417","39"
"25","213.8","no","green","1","left","40","NA","NA","39","NA","NA","NA","NA","39","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","39","left","135","1","odd","flanker task","133017","10","8552","40"
"26.829268292682926","211.58536585365854","no","green","1","right","41","NA","NA","40","NA","NA","NA","NA","40","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","40","right","123","1","odd","flanker task","133824","11","8675","41"
"26.19047619047619","209.88095238095238","no","green","0","left","42","NA","NA","41","NA","NA","NA","NA","41","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","41","up","140","1","odd","flanker task","135498","11","8815","42"
"27.906976744186046","209.53488372093022","no","green","1","down","43","NA","NA","42","NA","NA","NA","NA","42","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","42","down","195","1","odd","flanker task","136391","12","9010","43"
"29.545454545454547","207.77272727272728","no","green","1","up","44","NA","NA","43","NA","NA","NA","NA","43","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","43","up","132","1","odd","flanker task","137236","13","9142","44"
"28.88888888888889","207.22222222222223","no","green","0","up","45","NA","NA","44","NA","NA","NA","NA","44","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","44","right","183","1","odd","flanker task","138928","13","9325","45"
"28.26086956521739","204.2608695652174","no","green","0","right","46","NA","NA","45","NA","NA","NA","NA","45","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","45","up","71","1","odd","flanker task","140490","13","9396","46"
"27.659574468085108","205.2340425531915","no","green","0","up","47","NA","NA","46","NA","NA","NA","NA","46","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","46","None","250","1","odd","flanker task","142469","13","9646","47"
"29.166666666666668","205.29166666666666","no","green","1","down","48","NA","NA","47","NA","NA","NA","NA","47","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","47","down","208","1","odd","flanker task","143379","14","9854","48"
"28.571428571428573","204.3265306122449","no","green","0","left","49","NA","NA","48","NA","NA","NA","NA","48","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","48","up","158","1","odd","flanker task","145049","14","10012","49"
"30","202.82","no","green","1","left","50","NA","NA","49","NA","NA","NA","NA","49","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","49","left","129","1","odd","flanker task","145874","15","10141","50"
"31.372549019607842","202.33333333333334","no","green","1","up","51","NA","NA","50","NA","NA","NA","NA","50","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","50","up","178","1","odd","flanker task","146763","16","10319","51"
"30.76923076923077","202.05769230769232","no","green","0","right","52","NA","NA","51","NA","NA","NA","NA","51","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","51","down","188","1","odd","flanker task","148437","16","10507","52"
"32.075471698113205","202.37735849056602","no","green","1","down","53","NA","NA","52","NA","NA","NA","NA","52","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","52","down","219","1","odd","flanker task","149334","17","10726","53"
"33.333333333333336","202.55555555555554","no","green","1","up","54","NA","NA","53","NA","NA","NA","NA","53","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","53","up","212","1","odd","flanker task","150244","18","10938","54"
"34.54545454545455","202.12727272727273","no","green","1","up","55","NA","NA","54","NA","NA","NA","NA","54","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","54","up","179","1","odd","flanker task","151123","19","11117","55"
"33.92857142857143","202.98214285714286","no","green","0","right","56","NA","NA","55","NA","NA","NA","NA","55","NA","Tue Dec 27 17:41:24 2022","Ok, Coba dulu!","55","None","250","1","odd","flanker task","153098","19","11367","56"
