"acc","avg_rt","checkbox_status","color","correct","correct_response","count_log_trainning","count_salah_dualnback_","count_salah_estinum","count_salah_flanker","count_salah_gonogo","count_salah_nback","count_salah_stroop","count_telat_estinum","count_telat_flanker","count_telat_stroop","datetime","form_response","live_row","response","response_time","subject_nr","subject_parity","task","time_log_trainning","total_correct","total_response_time","total_responses"
"0","527","no","NA","0","l","1","NA","0","NA","NA","NA","NA","0","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","0","a","527","1","odd","estimasi numerik","64356","0","527","1"
"0","638.5","no","NA","0","l","2","NA","1","NA","NA","NA","NA","1","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","1","None","750","1","odd","estimasi numerik","67515","0","1277","2"
"33.333333333333336","671.3333333333334","no","NA","1","a","3","NA","2","NA","NA","NA","NA","2","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","2","a","737","1","odd","estimasi numerik","69575","1","2014","3"
"50","604.25","no","NA","1","l","4","NA","3","NA","NA","NA","NA","3","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","3","l","403","1","odd","estimasi numerik","71311","2","2417","4"
"60","624.8","no","NA","1","l","5","NA","4","NA","NA","NA","NA","4","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","4","l","707","1","odd","estimasi numerik","73371","3","3124","5"
"66.66666666666667","562.5","no","NA","1","l","6","NA","5","NA","NA","NA","NA","5","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","5","l","251","1","odd","estimasi numerik","74963","4","3375","6"
"71.42857142857143","509.57142857142856","no","NA","1","a","7","NA","6","NA","NA","NA","NA","6","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","6","a","192","1","odd","estimasi numerik","76476","5","3567","7"
"75","477.75","no","NA","1","l","8","NA","7","NA","NA","NA","NA","7","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","7","l","255","1","odd","estimasi numerik","78066","6","3822","8"
"77.77777777777777","436.3333333333333","no","NA","1","a","9","NA","8","NA","NA","NA","NA","8","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","8","a","105","1","odd","estimasi numerik","79514","7","3927","9"
"80","419.7","no","NA","1","a","10","NA","9","NA","NA","NA","NA","9","NA","NA","Tue Dec 27 17:28:28 2022","Saya Mengerti!","9","a","270","1","odd","estimasi numerik","81103","8","4197","10"
