"acc","avg_rt","checkbox_status","color","correct","correct_response","count_log_trainning","count_salah_dualnback_","count_salah_estinum","count_salah_flanker","count_salah_gonogo","count_salah_nback","count_salah_stroop","count_telat_estinum","count_telat_flanker","count_telat_stroop","datetime","form_response","live_row","response","response_time","subject_nr","subject_parity","task","time_log_trainning","total_correct","total_response_time","total_responses"
"100","1042","no","black","1","None","1","0","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","0","None","1042","1","odd","emotional n back task","136338","1","1042","1"
"100","1042","no","black","1","None","2","1","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","1","None","1042","1","odd","emotional n back task","138664","2","2084","2"
"100","741.6666666666666","no","black","1","a","3","2","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","2","a","141","1","odd","emotional n back task","140458","3","2225","3"
"100","816.75","no","black","1","None","4","3","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","3","None","1042","1","odd","emotional n back task","142804","4","3267","4"
"80","861.8","no","black","0","l","5","4","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","4","None","1042","1","odd","emotional n back task","145499","4","4309","5"
"66.66666666666667","892","no","black","0","a","6","5","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","5","None","1043","1","odd","emotional n back task","148249","4","5352","6"
"57.142857142857146","802.4285714285714","no","black","0","None","7","6","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","6","l","265","1","odd","emotional n back task","150182","4","5617","7"
"50","702.125","no","black","0","None","8","7","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","7","a","0","1","odd","emotional n back task","151835","4","5617","8"
"44.44444444444444","739.8888888888889","no","black","0","l","9","8","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","8","None","1042","1","odd","emotional n back task","154596","4","6659","9"
"50","758.2","no","black","1","a","10","9","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","9","a","923","1","odd","emotional n back task","157173","5","7582","10"
"45.45454545454545","689.2727272727273","no","black","0","None","11","10","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","10","a","0","1","odd","emotional n back task","158878","5","7582","11"
"41.666666666666664","739.6666666666666","no","black","0","l","12","11","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","11","None","1294","1","odd","emotional n back task","161841","5","8876","12"
"46.15384615384615","762.9230769230769","no","black","1","None","13","12","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","12","None","1042","1","odd","emotional n back task","164185","6","9918","13"
"42.857142857142854","782.8571428571429","no","black","0","a","14","13","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","13","None","1042","1","odd","emotional n back task","166882","6","10960","14"
"40","800.1333333333333","no","black","0","l","15","14","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","14","None","1042","1","odd","emotional n back task","169642","6","12002","15"
"37.5","815.25","no","black","0","l","16","15","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","15","None","1042","1","odd","emotional n back task","172351","6","13044","16"
"35.294117647058826","828.5882352941177","no","black","0","l","17","16","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","16","None","1042","1","odd","emotional n back task","175069","6","14086","17"
"33.333333333333336","840.4444444444445","no","black","0","a","18","17","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","17","None","1042","1","odd","emotional n back task","177755","6","15128","18"
"36.8421052631579","851.0526315789474","no","black","1","None","19","18","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","18","None","1042","1","odd","emotional n back task","180085","7","16170","19"
"40","860.6","no","black","1","None","20","19","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","19","None","1042","1","odd","emotional n back task","182532","8","17212","20"
"38.095238095238095","869.2380952380952","no","black","0","a","21","20","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","20","None","1042","1","odd","emotional n back task","185227","8","18254","21"
"40.90909090909091","877.0909090909091","no","black","1","None","22","21","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","21","None","1042","1","odd","emotional n back task","187640","9","19296","22"
"39.130434782608695","884.2608695652174","no","black","0","a","23","22","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","22","None","1042","1","odd","emotional n back task","190337","9","20338","23"
"41.666666666666664","890.8333333333334","no","black","1","None","24","23","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","23","None","1042","1","odd","emotional n back task","192739","10","21380","24"
"44","896.88","no","black","1","None","25","24","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","24","None","1042","1","odd","emotional n back task","195100","11","22422","25"
"42.30769230769231","902.4615384615385","no","black","0","l","26","25","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","25","None","1042","1","odd","emotional n back task","197793","11","23464","26"
"40.74074074074074","907.6296296296297","no","black","0","a","27","26","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","26","None","1042","1","odd","emotional n back task","200491","11","24506","27"
"42.857142857142854","912.4285714285714","no","black","1","None","28","27","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","27","None","1042","1","odd","emotional n back task","202822","12","25548","28"
"41.37931034482759","916.8965517241379","no","black","0","l","29","28","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","28","None","1042","1","odd","emotional n back task","205526","12","26590","29"
"40","921.0666666666667","no","black","0","l","30","29","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","29","None","1042","1","odd","emotional n back task","208276","12","27632","30"
"41.935483870967744","924.9677419354839","no","black","1","None","31","30","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","30","None","1042","1","odd","emotional n back task","210607","13","28674","31"
"40.625","928.625","no","black","0","a","32","31","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","31","None","1042","1","odd","emotional n back task","213294","13","29716","32"
"39.39393939393939","932.060606060606","no","black","0","l","33","32","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","32","None","1042","1","odd","emotional n back task","215981","13","30758","33"
"41.1764705882353","935.2941176470588","no","black","1","None","34","33","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","33","None","1042","1","odd","emotional n back task","218319","14","31800","34"
"40","938.3428571428572","no","black","0","a","35","34","NA","NA","NA","NA","NA","NA","NA","NA","Wed Jul  6 20:11:40 2022","Mulai","34","None","1042","1","odd","emotional n back task","221088","14","32842","35"
